frame_index,frame_time_s,capture_latency_s,rectification_latency_s,segmentation_latency_s,occupancy_preprocessing_latency_s,pipeline_latency_s,capture_fps,display_fps,poisson_updates_per_s,poisson_version,field_age_s,last_solve_time_s,hjr_solve_time_s,poisson_residual,forcing_method,solver,grid_nx,grid_ny,occupied_fraction_instantaneous,occupied_fraction_filtered,occupied_fraction_inflated,changed_fraction,submitted_poisson_task,camera_moved,camera_translation_px,camera_rotation_deg,field_stale,discarded_queued_tasks,discarded_obsolete_solves,queue_size,queue_maximum_observed_size,contingency_status,hold_reason,time_s,occupancy_version,position_x_m,position_y_m,active_target,tau_active,tau_contingency,accepted_dt_s,backtracks,nominal_u_x,nominal_u_y,safe_u_x,safe_u_y,intervention_norm,success,safe_velocity_xy,nominal_velocity_xy,omega_active,omega_contingency,solver_status,solve_time_s,poisson_h_raw,poisson_h_effective,reachability_values,pivot,reachable_count,constraint_names,residuals
1,3169.907777511,0.0,0.0008879259999048372,0.09415837400001692,0.0005839890000061132,0.7131576470001164,0.0,0.0,0.0,,,,,,constant,conjugate_gradient,64,48,0.0751953125,0.0751953125,0.19661458333333334,1.0,True,False,,,False,0,0,0,1,hold,waiting for synchronized Poisson/HJR snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3170.621018894,0.011130012999728933,0.0018240899999000248,0.11005283699978463,0.0009042409997164214,0.22637095200025215,1.376706338020067,4.416015120434594,0.0,1,0.7431464030000825,0.6084126169998854,0.10608313900002031,3.410974969142444e-07,constant,conjugate_gradient,64,48,0.07096354166666667,0.06998697916666667,0.18880208333333334,0.0078125,True,False,,,False,0,0,0,1,optimal,,3170.748745961,1,0.70399964449061,0.7501959461347849,1,-19.88,-10.0,0.12,0,0.4499970374217497,0.0016328844565408093,0.4499970374217497,0.0016328844565408093,0.0,True,"[0.4499970374217497, 0.0016328844565408093]","[0.4499970374217497, 0.0016328844565408093]",0.0,0.0,optimal,0.00744293000025209,0.1879443696785388,0.16794436967853882,"{'1': 0.6023809523809511, '2': -0.5984815240347574, '3': 0.611316811256593, '4': 3.140636527223454}",0.611316811256593,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.5126723333149561, 'active_hj_LZ_1': 5.552434564925224, 'contingency_LZ-1': 0.7813631363537958, 'contingency_LZ-2': 0.12151110067293053, 'contingency_LZ-3': 0.5235531817300604, 'contingency_LZ-4': 2.176724801046879}"
3,3170.84749194,0.009618554000098811,0.0060664080001515686,0.018130476999886014,0.00040656199962540995,0.0755655680000018,2.1063849520022355,6.619144781476772,7.424581729885443,2,0.13482024199993248,0.058434749999833,0.04232141300008152,3.652093099049125e-07,constant,conjugate_gradient,64,48,0.07454427083333333,0.07096354166666667,0.18977864583333334,0.0009765625,False,False,,,False,0,0,0,1,optimal,,3170.883477029,2,0.75799928898122,0.7503918922695698,1,-19.759999999999998,-10.0,0.12,0,0.4499970374217497,0.0016328844565408082,0.4499970374217497,0.0016328844565408082,0.0,True,"[0.4499970374217497, 0.0016328844565408082]","[0.4499970374217497, 0.0016328844565408082]",0.0,0.0,optimal,0.0006681349996142671,0.2106074103644001,0.1906074103644001,"{'1': 0.6563805968715615, '2': -0.5444004113677119, '3': 0.6897333684690459, '4': 3.1945547035376283}",0.6897333684690459,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.5474581515758116, 'active_hj_LZ_1': 5.546433514713434, 'contingency_LZ-1': 0.8110622461212322, 'contingency_LZ-2': 0.15125571263980475, 'contingency_LZ-3': 0.5666822881969105, 'contingency_LZ-4': 2.206379103317276}"
4,3170.923124288,0.001499952000358462,0.0006791219998376619,0.0024156300000868214,0.0003626559996519063,0.13256588900003408,2.950321756484762,6.900222483877537,7.424581729885443,2,0.18106503900025928,0.058434749999833,0.04232141300008152,3.652093099049125e-07,constant,conjugate_gradient,64,48,0.0732421875,0.07454427083333333,0.1953125,0.012369791666666666,True,False,,,False,0,0,0,1,optimal,,3170.929721335,2,0.778809089678873,0.7504674038780408,1,-19.713755693999936,-10.0,0.04624430600006235,0,0.4499970374217497,0.001632884456540807,0.4499970374217497,0.001632884456540807,0.0,True,"[0.4499970374217497, 0.001632884456540807]","[0.4499970374217497, 0.001632884456540807]",0.0,0.0,optimal,0.0006716899997627479,0.2301838088735636,0.2101838088735636,"{'1': 0.7103802413621709, '2': -0.4903192987006664, '3': 0.7122128407337174, '4': 3.2484728798518034}",0.7122128407337174,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.5738877362060931, 'active_hj_LZ_1': 5.540432464501644, 'contingency_LZ-1': 0.8407613558886682, 'contingency_LZ-2': 0.18100032460667892, 'contingency_LZ-3': 0.5790459979424808, 'contingency_LZ-4': 2.236033405587673}"
5,3171.055828294,0.0021323689998098416,0.0005894470000384899,0.0032941619997473026,0.00039272000003620633,0.11140479300001971,3.478224469189572,7.321836574563095,6.349966611556409,3,0.13446607200012295,0.05691159300022264,0.043447948999983055,3.11462859503564e-07,constant,conjugate_gradient,64,48,0.06966145833333333,0.07389322916666667,0.19466145833333334,0.013671875,True,False,,,False,0,0,0,1,optimal,,3171.064103482,3,0.832808734169483,0.7506633500128257,1,-19.593755693999935,-10.0,0.12,0,0.4499970374217497,0.0016328844565408126,0.4499970374217497,0.0016328844565408126,0.0,True,"[0.4499970374217497, 0.0016328844565408126]","[0.4499970374217497, 0.0016328844565408126]",0.0,0.0,optimal,0.001943333999861352,0.23763715098275706,0.21763715098275707,"{'1': 0.7311900420598239, '2': -0.46947810267567736, '3': 0.7768128222992274, '4': 3.2692512852221203}",0.7768128222992274,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.5849495188690254, 'active_hj_LZ_1': 5.538119844482346, 'contingency_LZ-1': 0.852206478555458, 'contingency_LZ-2': 0.19246298242042487, 'contingency_LZ-3': 0.6145759878035093, 'contingency_LZ-4': 2.2474612608244278}"
6,3171.167414274,0.011162115999923117,0.0005805939999845577,0.03940422400000898,0.0003741529999388149,0.1610116880001442,3.934927700821828,7.067131416304803,6.358926692028341,4,0.15695809799990457,0.0721465370002079,0.04918135100024301,3.4745934129887246e-07,constant,conjugate_gradient,64,48,0.07291666666666667,0.06901041666666667,0.18619791666666666,0.013020833333333334,True,False,,,False,0,0,0,1,optimal,,3171.220577902,4,0.886808378660093,0.7508592961476106,1,-19.473755693999934,-10.0,0.12,0,0.44999703742174973,0.0016328844565408113,0.44999703742174973,0.0016328844565408113,0.0,True,"[0.44999703742174973, 0.0016328844565408113]","[0.44999703742174973, 0.0016328844565408113]",0.0,0.0,optimal,0.0007113409997145936,0.2578409835406294,0.2378409835406294,"{'1': 0.7851896865504333, '2': -0.4153969900086327, '3': 0.8552293795116803, '4': 3.3231694615362946}",0.8552293795116803,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.6166799098228257, 'active_hj_LZ_1': 5.5321187942705565, 'contingency_LZ-1': 0.8819055883228939, 'contingency_LZ-2': 0.22220759438729765, 'contingency_LZ-3': 0.6577050942703584, 'contingency_LZ-4': 2.2771155630948248}"
7,3171.328658292,0.01028886699987197,0.006603526000162674,0.022418142999867996,0.0005238690000624047,0.15693638499988083,4.191994689848729,6.973514735157626,6.436195805886838,5,0.1501712200001748,0.031799155000044266,0.04986423299988019,3.343498136132439e-07,constant,conjugate_gradient,64,48,0.06966145833333333,0.0732421875,0.19303385416666666,0.0107421875,True,False,,,False,0,0,0,1,optimal,,3171.370610554,5,0.940808023150703,0.7510552422823955,1,-19.353755693999933,-10.0,0.12,0,0.4499970374217497,0.0016328844565408102,0.4499970374217497,0.0016328844565408102,0.0,True,"[0.4499970374217497, 0.0016328844565408102]","[0.4499970374217497, 0.0016328844565408102]",0.0,0.0,optimal,0.0010025380001934536,0.2769693891156637,0.2569693891156637,"{'1': 0.8391893310410428, '2': -0.3613158773415872, '3': 0.8777088517763527, '4': 3.3770876378504693}",0.8777088517763527,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.6466753871117144, 'active_hj_LZ_1': 5.526117744058766, 'contingency_LZ-1': 0.9116046980903298, 'contingency_LZ-2': 0.25195220635417326, 'contingency_LZ-3': 0.6700688040159283, 'contingency_LZ-4': 2.3067698653652213}"
8,3171.486170779,0.010419533999993291,0.006039977999989787,0.021830389000115247,0.00047268200023609097,0.1459117059998789,4.406063707455769,6.9226768083330406,6.42608387956869,6,0.1572125459997551,0.07606618600038928,0.047606104999886156,3.7499303573440557e-07,constant,conjugate_gradient,64,48,0.07356770833333333,0.06966145833333333,0.1875,0.010091145833333334,True,False,,,False,0,0,0,1,optimal,,3171.527366553,6,0.994807667641313,0.7512511884171804,1,-19.23375569399993,-10.0,0.12,0,0.4499970374217497,0.001632884456540809,0.4499970374217497,0.001632884456540809,0.0,True,"[0.4499970374217497, 0.001632884456540809]","[0.4499970374217497, 0.001632884456540809]",0.0,0.0,optimal,0.0009084270000130346,0.2928637425274777,0.2728637425274777,"{'1': 0.8931889755316531, '2': -0.3072347646745417, '3': 0.9561254089888056, '4': 3.431005814164644}",0.9561254089888056,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.6686542165298529, 'active_hj_LZ_1': 5.520116693846976, 'contingency_LZ-1': 0.9413038078577662, 'contingency_LZ-2': 0.28169681832104926, 'contingency_LZ-3': 0.7131979104827793, 'contingency_LZ-4': 2.3364241676356183}"
9,3171.632159191,0.00983436900014567,0.0065447890001451015,0.034603380000135076,0.0004679540002143767,0.17873399000018253,4.613006777168462,6.722775093254564,6.297279991294859,7,0.17560020499968232,0.07391719200040825,0.05011054900023737,3.4986693364658095e-07,constant,conjugate_gradient,64,48,0.0693359375,0.07356770833333333,0.19368489583333334,0.011393229166666666,True,False,,,False,0,0,0,1,optimal,,3171.702358273,7,1.048807312131923,0.7514471345519653,1,-19.11375569399993,-10.0,0.12,0,0.44999703742174973,0.001632884456540808,0.44999703742174973,0.001632884456540808,0.0,True,"[0.44999703742174973, 0.001632884456540808]","[0.44999703742174973, 0.001632884456540808]",0.0,0.0,optimal,0.0008293079999930342,0.31079066600058514,0.2907906660005851,"{'1': 0.9471886200222634, '2': -0.2531536520074962, '3': 0.9791114668664473, '4': 3.4849239904788187}",0.9791114668664473,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.6978516263400651, 'active_hj_LZ_1': 5.514115643635187, 'contingency_LZ-1': 0.9710029176252026, 'contingency_LZ-2': 0.3114414302879235, 'contingency_LZ-3': 0.725840242315481, 'contingency_LZ-4': 2.3660784699060153}"
10,3171.810999531,0.009849326000221481,0.00670378199993138,0.01963886699968498,0.0004584799999065581,0.30414451299975553,4.70454457971329,6.023309460722341,6.360438063615052,8,0.14854008599968438,0.06866312000011021,0.04512030500018227,3.496695324400889e-07,constant,conjugate_gradient,64,48,0.07454427083333333,0.0693359375,0.18815104166666666,0.0087890625,True,False,,,False,0,0,0,1,optimal,,3171.84988857,8,1.102806956622533,0.7516430806867502,1,-18.99375569399993,-10.0,0.12,0,0.4499970374217497,0.0016328844565408067,0.4499970374217497,0.0016328844565408067,0.0,True,"[0.4499970374217497, 0.0016328844565408067]","[0.4499970374217497, 0.0016328844565408067]",0.0,0.0,optimal,0.0006970890003685781,0.3250986337693993,0.3050986337693993,"{'1': 1.0011882645128725, '2': -0.19907253934045066, '3': 1.0575280240788998, '4': 3.5388421667929935}",1.0575280240788998,3,"['poisson_velocity_cbf', 'active_hj_LZ_1', 'contingency_LZ-1', 'contingency_LZ-2', 'contingency_LZ-3', 'contingency_LZ-4']","{'poisson_velocity_cbf': 0.717733957525356, 'active_hj_LZ_1': 5.508114593423397, 'contingency_LZ-1': 1.0007020273926384, 'contingency_LZ-2': 0.34118604225479743, 'contingency_LZ-3': 0.7689693487823295, 'contingency_LZ-4': 2.395732772176412}"
