time,x,y,z,u_nom_x,u_nom_y,u_nom_z,u_safe_x,u_safe_y,u_safe_z,active_index,poisson_h,pivot_value,reachable_count,V1,V2,V3,V4,poisson_residual,active_hj_residual,omega_active,omega_contingency,qp_solve_ms,qp_success
0.0,1.4,2.0,8.4,1.4102543048333784,0.8814089405208615,-0.3525635762083446,1.4102543048333784,0.8814089405208615,-0.3525635762083446,0,0.6713938163792937,6.598730117745621,4,3.4676721660697147,6.091568202495292,6.598730117745621,10.443528934347551,1.772752104753252,51.36686018346957,0.0,0.0,6.841385998995975,1
0.12,1.5692305165800053,2.1057690728625036,8.357692370854998,1.4102543048333782,0.8814089405208614,-0.3525635762083445,1.4102543048333782,0.8814089405208614,-0.3525635762083445,0,0.7511123056428904,6.830465847072052,4,3.692375416540738,6.311050211885931,6.830465847072052,10.66301094373819,1.8971325166770825,51.33318766294103,0.0,0.0,0.49353999929735437,1
0.24,1.7384610331600108,2.211538145725007,8.315384741709996,1.4102543048333782,0.8814089405208613,-0.35256357620834444,1.4102543048333782,0.8814089405208613,-0.35256357620834444,0,0.8321583186964011,7.078745100783042,4,3.917078667011765,6.530532221276566,7.078745100783042,10.879531946514847,2.0166011999074493,51.29877699879868,0.0,0.0,0.42352900345576927,1
0.36,1.9076915497400162,2.3173072185875103,8.273077112564994,1.4102543048333784,0.8814089405208616,-0.3525635762083444,1.4102543048333784,0.8814089405208616,-0.3525635762083444,0,0.8861145627744924,7.2418199263098835,4,4.141781917482785,6.750014230667201,7.2418199263098835,11.031540815376193,2.070417420076555,51.268168009745025,0.0,0.0,0.37369199708336964,1
0.48,2.0769220663200216,2.423076291450014,8.230769483419992,1.4102543048333784,0.8814089405208613,-0.3525635762083443,1.4102543048333784,0.8814089405208613,-0.3525635762083443,0,0.9424165948291687,7.434793224914166,4,4.366485167953812,6.96949624005784,7.434793224914166,11.18354968423754,2.1216286589189592,51.236225002228835,0.0,0.0,0.38181299896677956,1
0.6,2.246152582900027,2.528845364312517,8.18846185427499,1.4102543048333782,0.8814089405208615,-0.35256357620834416,1.4102543048333782,0.8814089405208615,-0.35256357620834416,0,1.0010911981730035,7.657664996595884,4,4.591188418424839,7.188978249448478,7.657664996595884,11.335558553098888,2.169858724829457,51.20294797625007,0.0,0.0,0.36993599496781826,1
0.72,2.415383099480032,2.6346144371750206,8.146154225129989,1.4102543048333787,0.8814089405208615,-0.35256357620834405,1.4102543048333787,0.8814089405208615,-0.35256357620834405,0,1.0400166162627107,7.861450715990522,4,4.813499520434615,7.4084602588391135,7.861450715990522,11.452786017297283,2.1678713857546374,51.167805090553514,0.0,0.0,0.3839390046778135,1
0.84,2.5846136160600377,2.7403835100375242,8.103846595984987,1.4102543048333787,0.8814089405208615,-0.352563576208344,1.4102543048333787,0.8814089405208615,-0.352563576208344,0,1.0719326709015764,8.05902354038717,4,5.039783973946047,7.627942268229752,8.05902354038717,11.572893232376824,2.1419792868556304,51.13745308422065,0.0,0.0,0.3751010008272715,1
0.96,2.753844132640043,2.846152582900028,8.061538966839985,1.4102543048333784,0.8814089405208614,-0.35256357620834383,1.4102543048333784,0.8814089405208614,-0.35256357620834383,0,1.0982217287621483,8.24818694215314,4,5.265298169837916,7.847424277620387,8.24818694215314,11.708277643172485,2.1014492235858984,51.105747502660456,0.0,0.0,0.37305599835235626,1
1.08,2.923074649220048,2.951921655762531,8.019231337694983,1.4102543048333784,0.8814089405208614,-0.35256357620834367,1.4102543048333784,0.8814089405208614,-0.35256357620834367,0,1.111641544824104,8.447635662017518,4,5.486485816167491,8.066906287011026,8.447635662017518,11.838583066394767,2.0300919692728994,51.068990038684376,0.0,0.0,0.36564200127031654,1
