step,time_s,x_m,y_m,distance_to_goal_m,clearance_to_inflated_occupancy_m,h,gradient_x,gradient_y,u_nom_x,u_nom_y,u_safe_x,u_safe_y,u_nom_norm,u_safe_norm,intervention_norm,cbf_residual,explicit_cbf_residual,solver_status,solve_time_s,was_filtered,integration_dt_s,integration_backtracks,collision
0,0.0,0.4,3.8,6.158733636065128,0.5614135965445961,0.09417993640981842,0.06116997455076679,-0.001610402942014521,0.6754635361463469,-0.42865955178518167,0.6754635361463469,-0.42865955178518167,0.8,0.8,0.0,0.06084438920132415,0.06084438920132415,optimal,8.426999556832016e-06,False,0.02,0,False
1,0.02,0.413509270722927,3.7914268089642964,6.142733636065128,0.5467497149921189,0.09484446457375559,0.04902119344913727,0.001024995065518695,0.6754635361463469,-0.4286595517851817,0.6754635361463469,-0.4286595517851817,0.8000000000000002,0.8000000000000002,0.0,0.05164154766265225,0.05164154766265225,optimal,9.989002137444913e-06,False,0.02,0,False
2,0.04,0.42701854144585394,3.782853617928593,6.126733636065128,0.5320130072534162,0.09548452472873858,0.0367181177051558,0.003701165364546669,0.6754635361463468,-0.42865955178518167,0.6754635361463468,-0.42865955178518167,0.8,0.8,0.0,0.042312114685260624,0.042312114685260624,optimal,5.398003850132227e-06,False,0.02,0,False
3,0.06,0.4405278121687809,3.7742804268928896,6.110733636065129,0.5172034733284878,0.09610011687476738,0.024260747318822364,0.0064181079550694655,0.6754635361463468,-0.4286595517851817,0.6754635361463468,-0.4286595517851817,0.8,0.8,0.0,0.03285609026914925,0.03285609026914925,optimal,5.050998879596591e-06,False,0.02,0,False
4,0.08,0.45403708289170785,3.765707235857186,6.094733636065128,0.5023707373848628,0.09605247722945869,0.01173528569254622,0.009702016859124148,0.6754635361463468,-0.4286595517851818,0.6754635361463468,-0.4286595517851818,0.8,0.8,0.0,0.022978390819222205,0.022978390819222205,optimal,4.9489972298033535e-06,False,0.02,0,False
5,0.1,0.4675463536146348,3.7571340448214827,6.078733636065128,0.48745340245558433,0.0958861325388222,-0.0009538684235685969,0.013072948504103251,0.6754635361463468,-0.4286595517851818,0.6754635361463468,-0.4286595517851818,0.8,0.8,0.0,0.01292907892308279,0.01292907892308279,optimal,4.658002580981702e-06,False,0.02,0,False
6,0.12,0.48105562433756177,3.7485608537857793,6.062733636065129,0.4724437712135817,0.09568492386484913,-0.013819400922201923,0.01645989155965561,0.6754635361463467,-0.4286595517851817,0.6754635361463467,-0.4286595517851817,0.7999999999999999,0.7999999999999999,0.0,0.002746793620240561,0.002746793620240561,optimal,5.246001819614321e-06,False,0.02,0,False
7,0.14,0.49456489506048873,3.739987662750076,6.046733636065129,0.45734184365885494,0.0954488512075395,-0.02686131180335376,0.01986284602578129,0.6754635361463468,-0.42865955178518184,0.4933063004844215,-0.29396169522022303,0.8,0.5742513250784657,0.2265497099251915,-3.469446951953614e-18,-3.469446951953614e-18,optimal,4.49299841420725e-06,True,0.02,0,False
8,0.16,0.5044310210701771,3.7341084288456714,6.035253147015668,0.4470706535639178,0.09521543835148398,-0.0364099146125755,0.022050355968708028,0.6754406292235806,-0.42869564541064975,0.37396639791678926,-0.24611861422444165,0.8,0.44768877475163243,0.3524501162700764,3.469446951953614e-18,3.469446951953614e-18,optimal,4.3359978008084e-06,True,0.02,0,False
9,0.18,0.511910349028513,3.7291860565611827,6.026300596901246,0.43931266175732264,0.0946446986481576,-0.043808188680124996,0.02403758923549578,0.6754511586876777,-0.4286790550370683,0.3076154828846345,-0.226847316553757,0.8000000000000002,0.38221327859977244,0.41957017893634585,0.0,0.0,optimal,4.156994691584259e-06,True,0.02,0,False
