frame_index,frame_time_s,capture_latency_s,rectification_latency_s,segmentation_latency_s,occupancy_preprocessing_latency_s,pipeline_latency_s,capture_fps,display_fps,poisson_updates_per_s,poisson_version,field_age_s,last_solve_time_s,poisson_residual,forcing_method,solver,grid_nx,grid_ny,occupied_fraction_instantaneous,occupied_fraction_filtered,occupied_fraction_inflated,changed_fraction,submitted_poisson_task,camera_moved,camera_translation_px,camera_rotation_deg,field_stale,dropped_capture_frames,discarded_queued_tasks,discarded_obsolete_solves,queue_size,queue_maximum_observed_size,cbf_demo_status,partial_h_t_mean_abs,partial_h_t_max_abs
1,5208.185123406,0.0,0.0007606589997521951,0.1537537189997238,0.09465833500053122,0.67216009600088,0.0,0.0,0.0,,,,,constant,conjugate_gradient,64,48,0.0751953125,0.0751953125,0.19661458333333334,1.0,True,False,,,False,0,0,0,0,1,disabled,,
2,5208.857346407,0.001359177000267664,0.000560014999791747,0.00330039799973747,0.00047932399957062444,0.06180111400044552,1.483479669256482,16.162193168108058,0.0,1,0.4296340249993591,0.3154731320000792,3.410974969142444e-07,constant,conjugate_gradient,64,48,0.07096354166666667,0.06998697916666667,0.18880208333333334,0.0078125,True,False,,,False,0,0,0,0,1,disabled,,
3,5208.919214883,0.0013796879993606126,0.0006842129996584845,0.002461870999468374,0.00040141599947673967,0.012105296000299859,2.7192690556902517,27.004144663647825,16.516642424944212,2,0.06065783299982286,0.029926831999546266,3.652093099049125e-07,constant,conjugate_gradient,64,48,0.07454427083333333,0.07096354166666667,0.18977864583333334,0.0009765625,False,False,,,False,0,0,0,0,1,disabled,0.024402294143194475,0.29627093575050056
4,5208.931377245,0.0012923510003020056,0.0007148489994506235,0.002641787999891676,0.0005771120004283148,0.05960224900081812,4.014621298946829,22.435319031221287,16.516642424944212,2,0.07286533800015604,0.029926831999546266,3.652093099049125e-07,constant,conjugate_gradient,64,48,0.0732421875,0.07454427083333333,0.1953125,0.012369791666666666,True,False,,,False,0,0,0,0,1,disabled,0.024402294143194475,0.29627093575050056
5,5208.991053706,0.001116966000154207,0.0005298200003380771,0.002679619999980787,0.0005714830003853422,0.058573028000864724,4.9577657479609325,20.794677760275146,15.133364286143319,3,0.05988972399973136,0.030982119999862334,3.11462859503564e-07,constant,conjugate_gradient,64,48,0.06966145833333333,0.07389322916666667,0.19466145833333334,0.013671875,True,False,,,False,0,0,0,0,1,disabled,0.1449063778679254,2.1425050245034694
6,5209.04974992,0.001414845999534009,0.0007307729993044632,0.0029923929996584775,0.0004561579999062815,0.06125966600029642,5.773674935597615,19.705155308023873,15.645374270141792,4,0.06008365900015633,0.02975640300064697,3.4745934129887246e-07,constant,conjugate_gradient,64,48,0.07291666666666667,0.06901041666666667,0.18619791666666666,0.013020833333333334,True,False,,,False,0,0,0,0,1,disabled,0.2337498360732245,2.264068640063256
7,5209.111087323,0.0011666810005408479,0.0006044820001989137,0.0023858570002630586,0.00039383399962389376,0.06522108599983767,6.4727597294157455,18.80598895521791,15.877382279195102,5,0.06117869800073095,0.030527488000188896,3.343498136132439e-07,constant,conjugate_gradient,64,48,0.06966145833333333,0.0732421875,0.19303385416666666,0.0107421875,True,False,,,False,0,0,0,0,1,disabled,0.1877141344945287,2.105707114913714
8,5209.176376662,0.0015300690001822659,0.0007135270006983774,0.0024546499998905347,0.00040898699990066234,0.0602969560004567,7.051090282284373,18.44989034426505,15.728620347459556,6,0.06640271000014764,0.029882723999435257,3.7499303573440557e-07,constant,conjugate_gradient,64,48,0.07356770833333333,0.06966145833333333,0.1875,0.010091145833333334,True,False,,,False,0,0,0,0,1,disabled,0.14822579329516328,2.3003360062214195
9,5209.236775192,0.001381385000058799,0.0005373610001697671,0.002672454999810725,0.0003857729998344439,0.05927462299951003,7.597736842749797,18.232006503455338,15.859022341621856,7,0.06112362000021676,0.02943101700020634,3.4986693364658095e-07,constant,conjugate_gradient,64,48,0.0693359375,0.07356770833333333,0.19368489583333334,0.011393229166666666,True,False,,,False,0,0,0,0,1,disabled,0.18760547253448592,2.493825264580324
10,5209.296118919,0.0014864489994579344,0.0005493190001288895,0.0029023419992881827,0.0004578619991661981,0.05924147400037327,8.090043492862156,18.06886057219897,15.982503670130132,8,0.06052519700006087,0.03046387699941988,3.496695324400889e-07,constant,conjugate_gradient,64,48,0.07454427083333333,0.0693359375,0.18815104166666666,0.0087890625,True,False,,,False,0,0,0,0,1,disabled,0.1313020044804258,1.534868154962694
11,5209.355442727,0.001520505000371486,0.0006529450001835357,0.0026789349994942313,0.0003885670003000996,0.056891129999712575,8.534931043290106,18.01576419722627,16.09655712954881,9,0.059870298000532784,0.029232517999844276,3.377469610654771e-07,constant,conjugate_gradient,64,48,0.072265625,0.07421875,0.19466145833333334,0.012369791666666666,True,False,,,False,0,0,0,0,1,disabled,0.19301796907864519,2.5426811814262678
12,5209.412425255,0.0013975339998069103,0.0006982140002946835,0.0021666459997504717,0.00045055100054014474,0.06095555100000638,8.952331657976197,17.853905851255302,16.256428733459845,10,0.05719984499955899,0.027704126000571705,3.6753162646618875e-07,constant,conjugate_gradient,64,48,0.07096354166666667,0.07194010416666667,0.19205729166666666,0.009765625,True,False,,,False,0,0,0,0,1,disabled,0.14842345039888744,2.488370287827282
13,5209.473468608,0.0013240190000942675,0.0008137380000334815,0.0033969739997701254,0.0005205349998504971,0.06246731800001726,9.304913003600346,17.6817122232061,16.234633389863827,11,0.0631167789997562,0.02734965000036027,3.6144331083676207e-07,constant,conjugate_gradient,64,48,0.07194010416666667,0.0712890625,0.18912760416666666,0.012044270833333334,True,False,,,False,0,0,0,0,1,disabled,0.11580213118661098,1.8016175065502378
