step,time_s,x_m,y_m,distance_to_goal_m,clearance_to_inflated_occupancy_m,h,gradient_x,gradient_y,u_nom_x,u_nom_y,u_safe_x,u_safe_y,u_nom_norm,u_safe_norm,intervention_norm,cbf_residual,explicit_cbf_residual,solver_status,solve_time_s,was_filtered,integration_dt_s,integration_backtracks,collision
0,0.0,0.35,1.5,3.3,0.15185359550075012,0.013093601389962187,-0.00215320536156065,0.07776348690437893,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.03820420148910624,0.03820420148910624,optimal,9.190000128000975e-06,False,0.02,0,False
1,0.02,0.36,1.5,3.29,0.14694777882669058,0.012974710475617685,-0.016551782193793572,0.08346830399626812,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.030648240329956267,0.030648240329956267,optimal,6.213995220605284e-06,False,0.02,0,False
2,0.04,0.37,1.5,3.28,0.13814737936491714,0.01254676607725704,-0.03205775057454529,0.08933190480747152,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.021611422944498474,0.021611422944498474,optimal,5.6200005928985775e-06,False,0.02,0,False
3,0.06,0.38,1.5,3.27,0.12934697990314376,0.0121188216788964,-0.04756371895529694,0.0951955056186749,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.01257460555904073,0.01257460555904073,optimal,5.309993866831064e-06,False,0.02,0,False
4,0.08,0.39,1.5,3.26,0.12054658044137032,0.011690877280535753,-0.06306968733604866,0.1010591064298783,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.003537788173582933,0.003537788173582933,optimal,5.26200165040791e-06,False,0.02,0,False
5,0.1,0.4,1.5,3.25,0.1117461809795969,0.011262932882175114,-0.07857565571680031,0.10692270724108169,0.5,0.0,0.4754586433047365,0.033394927134735644,0.5,0.4766299850528866,0.0414427236891889,0.0,0.0,optimal,4.822999471798539e-06,True,0.02,0,False
6,0.12,0.40950917286609473,1.5006678985426947,3.2404908959642897,0.10341159010694714,0.01054907797159036,-0.08791880313684769,0.1129120333555574,0.49999998937963624,-0.00010305514876256381,0.44709202049974206,0.06784539425907138,0.5,0.45221042924363275,0.0861176227489172,0.0,0.0,optimal,4.82500036014244e-06,True,0.02,0,False
7,0.14,0.4184510132760896,1.502024806427876,3.23154962106996,0.09567777496972932,0.009571989686784282,-0.09165098138345093,0.11944582358731679,0.4999999018511049,-0.0003132872252176107,0.430669204399138,0.09004321667719001,0.5,0.43998152743877994,0.11389048865749049,1.0408340855860843e-17,1.0408340855860843e-17,optimal,4.506000550463796e-06,True,0.02,0,False
8,0.16,0.4270643973640723,1.50382567076142,3.2229378731981453,0.08846424039371728,0.008727755113881599,-0.09617310692859661,0.1269327368682152,0.4999996477496143,-0.0005935067494217145,0.4166538121027577,0.10940933461743294,0.49999999999999994,0.43077929574341145,0.13801142499247743,3.469446951953614e-18,3.469446951953614e-18,optimal,4.656001692637801e-06,True,0.02,0,False
9,0.18,0.43539747360612746,1.5060138574537685,3.2146081517316136,0.08174289236760308,0.008013224805561672,-0.1018979317262276,0.13556298164858893,0.49999912503523347,-0.0009353951041480735,0.40421107491240116,0.1264991215830373,0.4999999999999999,0.42354293860613335,0.15942053377664614,0.0,0.0,optimal,4.4769985834136605e-06,True,0.02,0,False
10,0.2,0.44348169510437546,1.5085438398854292,3.2065296875018476,0.07549674209961284,0.007426475567155155,-0.10914231339413352,0.1454783803733932,0.49999822508953096,-0.0013322564763287022,0.3928049146183247,0.1415482516351256,0.5,0.4175303683437531,0.17862039471450003,-6.938893903907228e-18,-6.938893903907228e-18,optimal,4.321002052165568e-06,True,0.02,0,False
11,0.22,0.45133779339674196,1.5113748049181317,3.198682431586316,0.06971398503657164,0.00696563402020405,-0.11814780731928048,0.1567782956760284,0.4999968385446992,-0.00177804536108491,0.3821033370067916,0.15466279481840212,0.5,0.412217831070861,0.19588929062338356,3.469446951953614e-18,3.469446951953614e-18,optimal,4.6290006139315665e-06,True,0.02,0,False
12,0.24,0.4589798601368778,1.5144680608144998,3.1910529387328865,0.06543466584721198,0.006545680816255818,-0.12200823051644338,0.16319532735295378,0.4999948608076402,-0.0022669728601000315,0.3773469431531794,0.1617839848995103,0.49999999999999994,0.41056640544132905,0.2048297547887534,-3.469446951953614e-18,-3.469446951953614e-18,optimal,4.3190011638216674e-06,True,0.02,0,False
13,0.26,0.4665267989999414,1.51770374051249,3.1835224271102116,0.06311227019448154,0.005948678141314231,-0.1176952394344189,0.16255440308205787,0.49999226860949153,-0.002780527060486313,0.3788588767294971,0.1645224692627372,0.5,0.413039576032424,0.20655166716122347,3.469446951953614e-18,3.469446951953614e-18,optimal,3.936002030968666e-06,True,0.02,0,False
14,0.28,0.4741039765345313,1.5209941898977448,3.175965413519681,0.06137405132624356,0.005183685044258411,-0.11399023084891792,0.16289092842459288,0.49998907575411283,-0.0033051666445067726,0.37892198780659214,0.1696985215712951,0.49999999999999994,0.4151860559638082,0.21115756183561862,0.0,0.0,optimal,3.977998858317733e-06,True,0.02,0,False
15,0.3,0.4816824162906631,1.5243881603291707,3.1684114463885544,0.06028503748460862,0.004254513589260453,-0.11101068923513802,0.16437601722009784,0.49998518773827105,-0.003848641620861615,0.3776035386946437,0.1773646108075522,0.5,0.4171841770748643,0.2186675807666093,1.734723475976807e-18,1.734723475976807e-18,optimal,4.25500184064731e-06,True,0.02,0,False
16,0.32,0.48923448706455597,1.5279354525453217,3.1608889599716994,0.060268707649139094,0.003670824396699724,-0.10364766445941553,0.16490643286404771,0.49998047273443985,-0.004418923426144622,0.38649430736550283,0.17614084903007654,0.5,0.42473927099218883,0.21326261078676703,0.0,0.0,optimal,4.325003828853369e-06,True,0.02,0,False
17,0.34,0.49696437321186604,1.5314582695259233,3.1531925546209205,0.06055180213849014,0.0033177832008499278,-0.09538812095567015,0.16650822851566524,0.4999751160403198,-0.00498832040558736,0.40006664010629034,0.16941057931911,0.5,0.43445743279540344,0.2009892529182732,1.734723475976807e-18,1.734723475976807e-18,optimal,4.282999725546688e-06,True,0.02,0,False
18,0.36,0.5049657060139918,1.5348464811123055,3.145227334803317,0.06078834168876346,0.0029820917860627705,-0.08850715725548472,0.17009411217727827,0.4999693121042201,-0.00553958067302702,0.41271081055974856,0.16215485004157815,0.5,0.44342350923794216,0.18903827174538507,6.938893903907228e-18,6.938893903907228e-18,optimal,4.08000050811097e-06,True,0.02,0,False
