step,time_s,x_m,y_m,distance_to_goal_m,h,clearance_to_inflated_occupancy_m,u_nom_x,u_nom_y,u_nom_norm,collision
0,0.0,0.35,1.5,3.3,0.017506695599481426,0.12711864406779644,0.5,0.0,0.5,False
1,0.02,0.36,1.5,3.29,0.018170105452594083,0.12822366889044487,0.5,0.0,0.5,False
2,0.04,0.37,1.5,3.28,0.019084962504354652,0.1302076907311091,0.5,0.0,0.5,False
3,0.06,0.38,1.5,3.27,0.01999981955611522,0.1321917125717733,0.5,0.0,0.5,False
4,0.08,0.39,1.5,3.26,0.02091467660787579,0.13417573441243758,0.5,0.0,0.5,False
5,0.1,0.4,1.5,3.25,0.02182953365963635,0.13615975625310178,0.5,0.0,0.5,False
6,0.12,0.41000000000000003,1.5,3.2399999999999998,0.02288590323553271,0.13971307335731087,0.5,0.0,0.5,False
7,0.14,0.42000000000000004,1.5,3.23,0.024087413861824766,0.14487592406515581,0.5,0.0,0.5,False
8,0.16,0.43000000000000005,1.5,3.2199999999999998,0.025288924488116808,0.15003877477300068,0.5,0.0,0.5,False
9,0.18,0.44000000000000006,1.5,3.21,0.02649043511440885,0.15520162548084554,0.5,0.0,0.5,False
10,0.2,0.45000000000000007,1.5,3.1999999999999997,0.027691945740700892,0.16036447618869043,0.5,0.0,0.5,False
11,0.22,0.4600000000000001,1.5,3.19,0.029076911136331936,0.16516313827844328,0.5,0.0,0.5,False
12,0.24,0.4700000000000001,1.5,3.1799999999999997,0.03070468431491167,0.16947978602072133,0.49999999999999994,0.0,0.49999999999999994,False
13,0.26,0.4800000000000001,1.5,3.17,0.03233245749349139,0.1737964337629994,0.49999999999999994,0.0,0.49999999999999994,False
14,0.28,0.4900000000000001,1.5,3.1599999999999997,0.0339602306720711,0.17811308150527747,0.5,0.0,0.5,False
15,0.3,0.5000000000000001,1.5,3.15,0.03558800385065082,0.18242972924755552,0.5,0.0,0.5,False
16,0.32,0.5100000000000001,1.5,3.1399999999999997,0.03734745564877247,0.1866109527776028,0.5,0.0,0.5,False
17,0.34,0.5200000000000001,1.5,3.13,0.039333939549552575,0.19055868628656245,0.5,0.0,0.5,False
18,0.36,0.5300000000000001,1.5,3.1199999999999997,0.041320423450332676,0.19450641979552208,0.5,0.0,0.5,False
19,0.38,0.5400000000000001,1.5,3.11,0.04330690735111277,0.19845415330448174,0.5,0.0,0.5,False
20,0.4,0.5500000000000002,1.5,3.0999999999999996,0.04529339125189287,0.20240188681344135,0.5,0.0,0.5,False
21,0.42,0.5600000000000002,1.5,3.09,0.04734679616491569,0.2069150247292795,0.5,0.0,0.5,False
22,0.44,0.5700000000000002,1.5,3.0799999999999996,0.04955356173099466,0.2127238810775474,0.5,0.0,0.5,False
23,0.46,0.5800000000000002,1.5,3.07,0.05176032729707364,0.21853273742581522,0.5,0.0,0.5,False
24,0.48,0.5900000000000002,1.5,3.0599999999999996,0.05396709286315261,0.22434159377408305,0.5,0.0,0.5,False
25,0.5,0.6000000000000002,1.5,3.05,0.056173858429231616,0.23015045012235097,0.5,0.0,0.5,False
26,0.52,0.6100000000000002,1.5,3.0399999999999996,0.05840003068409952,0.23594186898705344,0.5,0.0,0.5,False
27,0.54,0.6200000000000002,1.5,3.03,0.06068748721935349,0.2416782221141811,0.5,0.0,0.5,False
28,0.56,0.6300000000000002,1.5,3.0199999999999996,0.06297494375460748,0.24741457524130875,0.49999999999999994,0.0,0.49999999999999994,False
29,0.58,0.6400000000000002,1.5,3.01,0.06526240028986145,0.25315092836843645,0.5,0.0,0.5,False
30,0.6,0.6500000000000002,1.5,2.9999999999999996,0.06754985682511547,0.25888728149556417,0.5,0.0,0.5,False
31,0.62,0.6600000000000003,1.5,2.9899999999999998,0.06983308534816274,0.2647360615569086,0.49999999999999994,0.0,0.49999999999999994,False
32,0.64,0.6700000000000003,1.5,2.9799999999999995,0.07209668381453595,0.2711068238128307,0.49999999999999994,0.0,0.49999999999999994,False
33,0.66,0.6800000000000003,1.5,2.9699999999999998,0.07436028228090917,0.2774775860687527,0.5,0.0,0.5,False
34,0.68,0.6900000000000003,1.5,2.9599999999999995,0.07662388074728242,0.2838483483246749,0.5,0.0,0.5,False
35,0.7000000000000001,0.7000000000000003,1.5,2.9499999999999997,0.07888747921365566,0.290219110580597,0.5,0.0,0.5,False
36,0.72,0.7100000000000003,1.5,2.9399999999999995,0.08114108393437468,0.29646372371512836,0.49999999999999994,0.0,0.49999999999999994,False
37,0.74,0.7200000000000003,1.5,2.9299999999999997,0.08331695952222777,0.30172717701662116,0.49999999999999994,0.0,0.49999999999999994,False
38,0.76,0.7300000000000003,1.5,2.9199999999999995,0.08549283511008086,0.30699063031811386,0.5,0.0,0.5,False
39,0.78,0.7400000000000003,1.5,2.9099999999999997,0.08766871069793394,0.3122540836196067,0.5,0.0,0.5,False
40,0.8,0.7500000000000003,1.5,2.8999999999999995,0.08984458628578704,0.31751753692109946,0.49999999999999994,0.0,0.49999999999999994,False
41,0.8200000000000001,0.7600000000000003,1.5,2.8899999999999997,0.09201443961793872,0.3225944261411427,0.5,0.0,0.5,False
42,0.84,0.7700000000000004,1.5,2.8799999999999994,0.09407137565568895,0.32417323883400934,0.5,0.0,0.5,False
43,0.86,0.7800000000000004,1.5,2.8699999999999997,0.0961283116934392,0.32575205152687586,0.5,0.0,0.5,False
44,0.88,0.7900000000000004,1.5,2.8599999999999994,0.09818524773118946,0.3273308642197425,0.5,0.0,0.5,False
45,0.9,0.8000000000000004,1.5,2.8499999999999996,0.10024218376893969,0.3289096769126091,0.5,0.0,0.5,False
46,0.92,0.8100000000000004,1.5,2.8399999999999994,0.10229911980668993,0.33048848960547567,0.5,0.0,0.5,False
47,0.9400000000000001,0.8200000000000004,1.5,2.8299999999999996,0.10422983310169964,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
48,0.96,0.8300000000000004,1.5,2.8199999999999994,0.10615892815641782,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
49,0.98,0.8400000000000004,1.5,2.8099999999999996,0.10808802321113598,0.3305084745762714,0.5,0.0,0.5,False
50,1.0,0.8500000000000004,1.5,2.7999999999999994,0.11001711826585417,0.3305084745762714,0.5,0.0,0.5,False
51,1.02,0.8600000000000004,1.5,2.7899999999999996,0.11194621332057234,0.3305084745762714,0.5,0.0,0.5,False
52,1.04,0.8700000000000004,1.5,2.7799999999999994,0.11376189981940653,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
53,1.06,0.8800000000000004,1.5,2.7699999999999996,0.11556826506707221,0.3305084745762714,0.5,0.0,0.5,False
54,1.08,0.8900000000000005,1.5,2.7599999999999993,0.11737463031473785,0.3305084745762714,0.5,0.0,0.5,False
55,1.1,0.9000000000000005,1.5,2.7499999999999996,0.11918099556240355,0.3305084745762714,0.5,0.0,0.5,False
56,1.12,0.9100000000000005,1.5,2.7399999999999993,0.12098736081006921,0.3305084745762714,0.5,0.0,0.5,False
57,1.1400000000000001,0.9200000000000005,1.5,2.7299999999999995,0.12269974498825653,0.33050847457627136,0.49999999999999994,0.0,0.49999999999999994,False
58,1.16,0.9300000000000005,1.5,2.7199999999999993,0.12439692634638123,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
59,1.18,0.9400000000000005,1.5,2.7099999999999995,0.12609410770450594,0.3305084745762714,0.5,0.0,0.5,False
60,1.2,0.9500000000000005,1.5,2.6999999999999993,0.1277912890626306,0.3305084745762714,0.5,0.0,0.5,False
61,1.22,0.9600000000000005,1.5,2.6899999999999995,0.1294884704207553,0.3305084745762714,0.5,0.0,0.5,False
62,1.24,0.9700000000000005,1.5,2.6799999999999993,0.1311134291615857,0.3305084745762714,0.5,0.0,0.5,False
63,1.26,0.9800000000000005,1.5,2.6699999999999995,0.13272004565040493,0.3305084745762714,0.5,0.0,0.5,False
64,1.28,0.9900000000000005,1.5,2.6599999999999993,0.13432666213922415,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
65,1.3,1.0000000000000004,1.5,2.6499999999999995,0.13593327862804336,0.3305084745762714,0.5,0.0,0.5,False
66,1.32,1.0100000000000005,1.5,2.6399999999999997,0.13753989511686254,0.3305084745762714,0.5,0.0,0.5,False
67,1.34,1.0200000000000005,1.5,2.6299999999999994,0.1390960820008036,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
68,1.36,1.0300000000000005,1.5,2.619999999999999,0.14063400988987496,0.3305084745762714,0.49999999999999994,0.0,0.49999999999999994,False
